cluster,n_cells,percentage
Basal 1,931,4.51
Basal 1 KHDRBS2+,71,0.34
Basal 2,3702,17.92
Cycling basal,176,0.85
Cycling hillock,13,0.06
Hillock,141,0.68
Squamous,55,0.27
Secretory,2527,12.23
Secretory GALNT4+,936,4.53
Duct,103,0.5
Club,24,0.12
Goblet 1,1758,8.51
Goblet 2 BPIFA2+,2395,11.59
Goblet 2 PLAU+,1189,5.76
Goblet 2 inflammatory,470,2.28
Transit epi 1,164,0.79
Transit epi 2,3485,16.87
Deuterosomal,141,0.68
Ciliated 1,1305,6.32
Ciliated 2,413,2.0
Ionocyte,351,1.7
T naive,9,0.04
MAIT,38,0.18
T CD8 mem 1,103,0.5
T CD8 mem 2,5,0.02
B mem,23,0.11
B mem exhausted,18,0.09
Mac,17,0.08
LC,30,0.15
Mono IL6+,34,0.16
pDC,16,0.08
Mast,13,0.06
