clusterName,NSForest_markers,f_score,onTarget,precision,recall
B cell,"['JCHAIN', 'HLA-DPB1']",0.2658486707566462,0.3329960107803345,0.2549019607843137,0.3209876543209876
Mast cell,"['TPSB2', 'CMA1']",0.9523809523809524,1.0,1.0,0.8
T cell,['GZMA'],0.4726118904475618,1.0,0.5463320463320464,0.306941431670282
Sinusoidal endothelial cell,['FCN3'],0.6759759982220905,1.0,0.756319933692499,0.4743956329607486
Neutrophil,['DEFA3'],0.8457095709570958,1.0,0.9669811320754716,0.5631868131868132
B cell (Plasmocyte),['ENSG00000211592'],0.8092848180677541,1.0,0.9192399049881236,0.5473833097595474
Erythroid progenitor cell (RP high),['HBB'],0.7692307692307693,1.0,1.0,0.4
Goblet cell,"['TFF1', 'AGR2']",0.925925925925926,1.0,1.0,0.7142857142857143
Enterocyte progenitor,"['MMP7', 'ACAT2', 'NDUFA2']",0.5555555555555556,1.0,0.6666666666666666,0.3333333333333333
Smooth muscle cell,"['MYL9', 'TAGLN']",0.873015873015873,1.0,0.9166666666666666,0.7333333333333333
Endothelial cell (APC),['MGP'],0.4094827586206896,0.4834406673908233,0.4367816091954023,0.3275862068965517
Endothelial cell,"['SPARC', 'ID1', 'MGP']",0.4838709677419355,1.0,0.75,0.2
Macrophage,['C1QB'],0.9253929599291564,1.0,0.9532497149372862,0.8285431119920713
Monocyte,"['FTH1', 'FCN1']",0.4701627486437613,0.5218563079833984,0.5799256505576208,0.2675814751286449
Antigen presenting cell (RPS high),"['PRR13', 'CSTA', 'LST1']",0.2247191011235955,0.7205439805984497,0.2857142857142857,0.1212121212121212
Dendritic cell,"['HLA-DQB1', 'HLA-DPB1']",0.7297163588390502,0.6987005472183228,0.8333333333333334,0.4873348017621145
