cluster,n_cells,percentage
enterocyte progenitor subset 1,2119,11.04
Goblet cell subset 1,1876,9.77
Transit amplifying cell subset 1,1786,9.3
Transit amplifying cell subset 2,1626,8.47
Transit amplifying cell subset 3,1516,7.9
Enterocyte progenitor cell subset 3,1514,7.89
Goblet cell subset 3,1033,5.38
BEST4+ cell,985,5.13
Tuft cell,844,4.4
Stem cell,816,4.25
Enterocyte progenitor cell subset 2,748,3.9
Enterocyte subset 1,705,3.67
Goblet cell subset 2,596,3.1
Mature enterocyte subset 2,564,2.94
Enteroendocrine cell subset 1,563,2.93
Mature enterocyte subset 1,499,2.6
Mixed cell types,463,2.41
Goblet progenitor,300,1.56
Enterocyte subset 2,261,1.36
Enteroendocrine cell subset 2,217,1.13
Paneth cell,134,0.7
Microfold cell,35,0.18
